date,ticker,action,price,shares,value,pnl,pnl_pct,entry_price,entry_date
2023-10-23,GOOG,BUY,140.29,7.128091809822511,1000.0,,,,
2023-10-23,MSFT,BUY,94.08,9.566326530612246,900.0000000000001,,,,
2023-10-24,GOOG,SELL,140.53,7.128091809822511,1001.7107420343574,1.7107420343574675,0.1710742034357393,140.29,2023-10-23
2023-10-31,GOOG,BUY,137.49,6.619907442020771,910.1710742034359,,,,
2023-11-01,MSFT,SELL,99.45,9.566326530612246,951.3711734693878,51.371173469387806,5.707908163265318,94.08,2023-10-23
2023-11-07,MSFT,BUY,100.28,9.117382171220893,914.2910841300311,,,,
2023-11-08,GOOG,SELL,136.97,6.619907442020771,906.728722333585,-3.4423518698508686,-0.3782093243145046,137.49,2023-10-31
2023-11-14,MSFT,SELL,103.33,9.117382171220893,942.0990997522548,27.808015622223696,3.0414838452333504,100.28,2023-11-07
2023-11-15,GOOG,BUY,135.58,7.43284229182484,1007.7447579256119,,,,
2023-11-16,GOOG,SELL,134.11,7.43284229182484,996.8184797566294,-10.926278168982506,-1.0842307124944717,135.58,2023-11-15
2023-11-22,GOOG,BUY,131.2,7.672653430706661,1006.6521301087138,,,,
2023-12-06,TSLA,BUY,172.36,5.256364104768173,905.9869170978424,,,,
2023-12-11,TSLA,SELL,176.89,5.256364104768173,929.7982464924421,23.81132939459968,2.628220004641424,172.36,2023-12-06
2023-12-14,MSFT,BUY,96.33,9.42975241396556,908.3680500373023,,,,
