Strategy,Total_Return_%,Annual_Return_%,Volatility_%,Sharpe_Ratio,Max_Drawdown_%,Num_Trades,Win_Rate_%,Profit_Factor
LogisticRegression,-0.10449140521843203,-0.5255262727315357,1.7547573120338174,-0.2994865837729063,-0.9049278347515344,6,66.66666666666666,7.286794930177603
ensemble,-0.22916343117067584,-1.1496495577408061,2.0320070106422614,-0.5657704681724663,-0.9747916750312946,40,50.0,1.1338153905626303
RandomForestClassifier,-0.20209336009147094,-1.014401026740197,1.7513676004622274,-0.5792050889102166,-0.9024024966433397,46,52.17391304347826,1.1599442760468799
Buy-and-Hold,-2.1973535246700315,-10.593919194397639,6.215842715304457,-1.7043415799942325,-3.8483522618022237,0,0.0,0.0
XGBClassifier,-0.7230394042727628,-3.5912833267181754,1.9545673852984873,-1.83738015569606,-1.2850062801919915,55,43.63636363636363,0.8132918234133869
