Model,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,CV_Accuracy,CV_Accuracy_Std
RandomForestClassifier,0.7868020304568528,0.532,0.5192307692307693,0.4462809917355372,0.48,0.5217502722788135,0.4030456852791878,0.06271449832073299
LogisticRegression,0.5258883248730964,0.512,0.49206349206349204,0.256198347107438,0.33695652173913043,0.49670062143635074,0.4558375634517766,0.052889406203578085
XGBClassifier,0.8,0.496,0.4806201550387597,0.512396694214876,0.496,0.4880517650073675,0.41624365482233505,0.054388204003975114
